id	orgName	QID	dvp_id
dvp_053_org_0	Dartmouth Vietnam Project	Q104889683	
dvp_053_org_1	Lomond Elementary School	Q105755256	
dvp_053_org_2	Gilmour Academy	Q5562547	
dvp_053_org_3	Dartmouth College	Q49116	
dvp_053_org_4	Geisel School of Medicine	Q5530214	
dvp_053_org_5	Harvard Medical School	Q49121	
dvp_053_org_6	Lomond Elementary School	Q105755256	
dvp_053_org_7	University of Notre Dame	Q178848	
dvp_053_org_8	Case Western Reserve University	Q1047060	
dvp_053_org_9	Dartmouth College	Q49116	
dvp_053_org_10	Gilmour Academy	Q5562547	
dvp_053_org_11	Dartmouth College	Q49116	
dvp_053_org_12	Colgate University	Q1191335	
dvp_053_org_13	Massachusetts Institute of Technology	Q49108	
dvp_053_org_14	Dartmouth College	Q49116	
dvp_053_org_15	Democratic Party	Q29552	
dvp_053_org_16	Democratic Party	Q29552	
dvp_053_org_17	Republican Party	Q29468	
dvp_053_org_18	Eaton Corporation	Q48872	
dvp_053_org_19	White Motor Company	Q1756227	
dvp_053_org_20	Eaton Corporation	Q48872	
dvp_053_org_21	Dartmouth College	Q49116	
dvp_053_org_22	Dartmouth College	Q49116	
dvp_053_org_23	Dartmouth College	Q49116	
dvp_053_org_24	Dartmouth College	Q49116	
dvp_053_org_25	Dartmouth College	Q49116	
dvp_053_org_26	Newman Centers	Q3339127	
dvp_053_org_27	Newman Centers	Q3339127	
dvp_053_org_28	Dartmouth College	Q49116	
dvp_053_org_29	Newman Centers	Q3339127	
dvp_053_org_30	ROTC	Q7277420	
dvp_053_org_31	Reserve Officers' Training Corps	Q489983	
dvp_053_org_32	Reserve Officers' Training Corps	Q489983	
dvp_053_org_33	Newman Centers	Q3339127	
dvp_053_org_34	Newman Centers	Q3339127	
dvp_053_org_35	Reserve Officers' Training Corps	Q489983	
dvp_053_org_36	Reserve Officers' Training Corps	Q489983	
dvp_053_org_37	Reserve Officers' Training Corps	Q489983	
dvp_053_org_38	Reserve Officers' Training Corps	Q489983	
dvp_053_org_39	Reserve Officers' Training Corps	Q489983	
dvp_053_org_40	Georgetown University	Q333886	
dvp_053_org_41	Georgetown University	Q333886	
dvp_053_org_42	Dartmouth College	Q49116	
dvp_053_org_43	Dartmouth College	Q49116	
dvp_053_org_44	Dartmouth College	Q49116	
dvp_053_org_45	’64s		"dvp_0168																"
dvp_053_org_46	Geisel School of Medicine	Q5530214	
dvp_053_org_47	Dartmouth College	Q49116	
dvp_053_org_48	Dartmouth College	Q49116	
dvp_053_org_49	Harvard Medical School	Q49121	
dvp_053_org_50	Harvard Medical School	Q49121	
dvp_053_org_51	Dartmouth College	Q49116	
dvp_053_org_52	Geisel School of Medicine	Q5530214	
dvp_053_org_53	Dartmouth College	Q49116	
dvp_053_org_54	Weill Cornell Medicine	Q3567094	
dvp_053_org_55	Weill Cornell Medicine	Q3567094	
dvp_053_org_56	Weill Cornell Medicine	Q3567094	
dvp_053_org_57	University of Minnesota Medical Center	Q7895801	
dvp_053_org_58	Harvard Medical School	Q49121	
dvp_053_org_59	The U.S. Air Force	Q61883	
dvp_053_org_60	United States Air Force	Q61883	
dvp_053_org_61	United States Air Force	Q61883	
dvp_053_org_62	United States Air Force	Q61883	
dvp_053_org_63	Dartmouth Vietnam Project	Q104889683	
dvp_053_org_64	Regular Army	Q4992216	
dvp_053_org_65	United States Marine Corps	Q1898583	
dvp_053_org_66	United States Air Force	Q61883	
dvp_053_org_67	United States Air Force	Q61883	
dvp_053_org_68	New York Hospital	Q7013596	
dvp_053_org_69	New York Hospital	Q7013596	
dvp_053_org_70	Royal Thai Armed Forces	Q947702	
dvp_053_org_71	Royal Thai Armed Forces	Q947702	
dvp_053_org_72	United States Armed Forces	Q11211	
dvp_053_org_73	Royal Thai Armed Forces	Q947702	
dvp_053_org_74	United States Armed Forces	Q11211	
dvp_053_org_75	Democratic Party	Q29552	
dvp_053_org_76	Republican Party	Q29468	
dvp_053_org_77	Pacific Air Forces	Q2045517	
dvp_053_org_78	Reserve Officers' Training Corps	Q489983	
dvp_053_org_79	Dartmouth College	Q49116	
dvp_053_org_80	Dartmouth College	Q49116	
dvp_053_org_81	Reserve Officers' Training Corps	Q489983	
dvp_053_org_82	Dartmouth College	Q49116	
dvp_053_org_83	United States Armed Forces	Q11211	
dvp_053_org_84	United States Armed Forces	Q11211	
dvp_053_org_85	United States Air Force	Q61883	
dvp_053_org_86	United States Air Force	Q61883	
dvp_053_org_87	Veterans Count	Q105701670	
dvp_053_org_88	Pease Greeters	Q105701069	
dvp_053_org_89	United States Marine Corps	Q11218	
dvp_053_org_90	United States Air Force	Q61883	
dvp_053_org_91	Class of ’64		dvp_0168
dvp_053_org_92	Reserve Officers' Training Corps	Q489983	
dvp_053_org_93	United States Air Force	Q61883	
dvp_053_org_94	United States Air Force	Q61883	
dvp_053_org_95	United States Air Force	Q61883	
dvp_053_org_96	United States Air Force	Q61883	
dvp_053_org_97	OCS		
dvp_053_org_98	United States Air Force	Q61883	
dvp_053_org_99	OCS		
dvp_053_org_100	OCS		
dvp_053_org_101	United States Air Force	Q61883	
dvp_053_org_102	Hill Air Force Base	Q3105846	
